City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
187,port elizabeth,-33.918,25.5701,17.4,91,0,2.24,ZA,1702343568
188,yugo-kamskiy,57.7053,55.5894,-30.55,98,82,2.44,RU,1702343568
189,onega,63.9061,38.1404,-10.82,94,100,3.73,RU,1702343569
190,natal,-5.795,-35.2094,26.36,83,20,2.06,BR,1702343569
191,launceston,-41.45,147.1667,25.19,53,100,2.57,AU,1702343570
192,hammerfest,70.6634,23.6821,-0.75,93,75,6.69,NO,1702343570
193,kavaratti,10.5669,72.642,27.76,74,81,1.47,IN,1702343083
194,san matias,-16.3667,-58.4,25.52,84,95,2.19,BO,1702343571
195,alice springs,-23.7,133.8833,22.75,33,0,3.6,AU,1702343571
196,port kembla,-34.4667,150.9,27.97,73,97,3.41,AU,1702343571
197,pitea,65.3172,21.4794,-9.95,97,98,2.9,SE,1702343572
198,fort bragg,35.139,-79.006,3.28,88,0,0.0,US,1702343055
199,susuman,62.7833,148.1667,-21.68,96,100,2.24,RU,1702343060
200,shalkar,47.8288,59.6258,-23.36,55,0,7.82,KZ,1702343573
201,new norfolk,-42.7826,147.0587,20.72,24,45,0.83,AU,1702343573
202,tippi,7.2,35.45,18.55,75,49,1.53,ET,1702343573
203,suizhou,31.7111,113.3631,2.33,70,12,2.17,CN,1702343574
204,beloyarskiy,63.7119,66.6722,-25.0,89,100,3.58,RU,1702343574
205,port lincoln,-34.7333,135.8667,20.71,49,11,5.72,AU,1702343449
206,san blas,21.5167,-105.2667,26.94,77,0,0.44,MX,1702343575
207,lebu,-37.6167,-73.65,12.83,90,100,2.89,CL,1702343575
208,kailua-kona,19.6406,-155.9956,28.06,84,75,3.6,US,1702343095
209,westport,41.1415,-73.3579,4.9,65,0,5.14,US,1702343576
210,ko lanta,7.5336,99.0865,26.19,84,100,5.29,TH,1702343576
211,bredasdorp,-34.5322,20.0403,16.15,78,100,5.27,ZA,1702343577
212,bolkhov,53.4433,36.0044,-2.87,96,100,5.48,RU,1702343577
213,waingapu,-9.6567,120.2641,29.68,68,14,1.06,ID,1702343577
214,bac lieu,9.285,105.7244,26.96,80,21,7.42,VN,1702343578
215,howrah,22.5892,88.3103,16.0,82,0,0.0,IN,1702343578
216,thunder bay,48.4001,-89.3168,-2.05,69,100,8.23,CA,1702343427
217,al majaridah,19.1236,41.9111,23.27,78,100,0.25,SA,1702343579
218,pandan,14.0453,124.1694,27.95,79,29,3.77,PH,1702343579
219,tazacorte,28.629,-17.9293,19.54,51,0,4.12,ES,1702343579
220,firozpur jhirka,27.8,76.95,13.76,50,0,2.58,IN,1702343098
221,slavonski brod,45.1603,18.0156,7.43,80,100,1.31,HR,1702343580
222,jaffna,9.6685,80.0074,26.53,77,100,5.7,LK,1702343580
223,puerto aysen,-45.4,-72.7,9.22,98,100,2.06,CL,1702343581
224,keflavik,64.0049,-22.5624,-2.76,86,20,3.6,IS,1702343581
225,almirante,9.3,-82.4,23.79,84,82,1.34,PA,1702343581
226,khandyga,62.6667,135.6,-34.02,99,100,0.15,RU,1702343582
227,kholmsk,47.0511,142.0569,-5.99,67,100,3.51,RU,1702343429
